Name,Chamber,Party,District,Total,Dems,Repubs,Comcast Corp,AT&T Inc,Verizon Communications,March 2017 Vote on Internet Privacy
"Desaulnier, Mark",House,D,CA11,"$12,750 ","$12,750 ",$0 ,"$3,000 ","$9,750 ",$0 ,Nay
"Amash, Justin",House,R,MI03,"$12,550 ",$0 ,"$12,550 ","$3,500 ","$8,800 ",$250 ,Nay
"Krishnamoorthi, Raja",House,D,IL08,"$12,505 ","$12,505 ",$0 ,"$4,000 ","$6,505 ","$2,000 ",Nay
"Bacon, Donald John",House,R,NE02,"$12,500 ",$0 ,"$12,500 ","$6,500 ","$4,000 ","$2,000 ",Yea
"Dunn, Neal",House,R,FL02,"$12,500 ",$0 ,"$12,500 ","$5,500 ","$5,000 ","$2,000 ",Yea
"Barragan, Nanette",House,D,CA44,"$12,478 ","$12,478 ",$0 ,"$2,580 ","$6,336 ","$3,562 ",Nay
"Brat, Dave",House,R,VA07,"$12,250 ",$0 ,"$12,250 ","$3,750 ","$6,000 ","$2,500 ",Yea
"Gabbard, Tulsi",House,D,HI02,"$12,074 ","$12,074 ",$0 ,"$4,251 ","$5,011 ","$2,812 ",Nay
"Taylor, Scott W",House,R,VA02,"$12,000 ",$0 ,"$12,000 ","$5,000 ","$3,000 ","$4,000 ",Yea
"Abraham, Ralph",House,R,LA05,"$11,500 ",$0 ,"$11,500 ","$1,000 ","$8,000 ","$2,500 ",Yea
"Bergman, John",House,R,MI01,"$11,500 ",$0 ,"$11,500 ","$2,500 ","$6,000 ","$3,000 ",Yea
"Gomez, Jimmy",House,D,CA34,"$11,173 ","$11,173 ",$0 ,"$3,373 ","$4,800 ","$3,000 ",Not Voting
"Takano, Mark",House,D,CA41,"$11,050 ","$11,050 ",$0 ,"$5,950 ","$2,000 ","$3,100 ",Nay
"McEachin, Donald",House,D,VA04,"$10,925 ","$10,925 ",$0 ,"$6,000 ","$2,000 ","$2,925 ",Nay
"Soto, Darren",House,D,FL09,"$10,500 ","$10,500 ",$0 ,"$5,500 ","$5,000 ",$0 ,Nay
"Westerman, Bruce",House,R,AR04,"$10,500 ",$0 ,"$10,500 ",$0 ,"$7,500 ","$3,000 ",Yea
"Banks, Jim",House,R,IN03,"$10,303 ",$0 ,"$10,303 ","$1,000 ","$6,000 ","$3,303 ",Yea
"Allen, Richard W",House,R,GA12,"$10,250 ",$0 ,"$10,250 ","$5,500 ","$2,750 ","$2,000 ",Yea
"O'Halleran, Tom",House,D,AZ01,"$10,250 ","$10,250 ",$0 ,"$5,000 ","$4,250 ","$1,000 ",Nay
"Raskin, Jamie",House,D,MD08,"$10,176 ","$10,176 ",$0 ,"$5,001 ","$3,000 ","$2,175 ",Nay
"Arrington, Jodey",House,R,TX19,"$10,000 ",$0 ,"$10,000 ","$2,000 ","$6,000 ","$2,000 ",Yea
"Ferguson, Drew",House,R,GA03,"$10,000 ",$0 ,"$10,000 ","$5,000 ","$5,000 ",$0 ,Yea
"Ellison, Keith",House,D,MN05,"$9,917 ","$9,917 ",$0 ,"$5,878 ","$2,785 ","$1,254 ",Nay
"Lewis, Jason",House,R,MN02,"$9,750 ",$0 ,"$9,750 ","$7,500 ","$2,250 ",$0 ,Yea
"Gonzalez, Vicente",House,D,TX15,"$9,500 ","$9,500 ",$0 ,"$2,500 ","$4,000 ","$3,000 ",Nay
"Demings, Val",House,D,FL10,"$9,100 ","$9,100 ",$0 ,"$9,100 ",$0 ,$0 ,Nay
"Panetta, Jimmy",House,D,CA20,"$9,050 ","$9,050 ",$0 ,"$2,000 ","$5,050 ","$2,000 ",Nay
"Carbajal, Salud",House,D,CA24,"$9,000 ","$9,000 ",$0 ,"$2,500 ","$4,500 ","$2,000 ",Nay
"Hice, Jody B",House,R,GA10,"$9,000 ",$0 ,"$9,000 ","$1,000 ","$5,000 ","$3,000 ",Yea
"Rutherford, John",House,R,FL04,"$9,000 ",$0 ,"$9,000 ","$5,000 ","$2,000 ","$2,000 ",Yea
"Handel, Karen",House,R,GA06,"$8,675 ",$0 ,"$8,675 ",$550 ,"$5,000 ","$3,125 ",Not Voting
"Biggs, Andy",House,R,AZ05,"$8,500 ",$0 ,"$8,500 ","$4,500 ","$2,000 ","$2,000 ",Yea
"Kelly, Trent",House,R,MS01,"$8,500 ",$0 ,"$8,500 ","$2,500 ","$6,000 ",$0 ,Yea
"DeFazio, Peter",House,D,OR04,"$8,489 ","$8,489 ",$0 ,$100 ,"$5,389 ","$3,000 ",Nay
"Budd, Ted",House,R,NC13,"$8,000 ",$0 ,"$8,000 ","$1,000 ","$6,000 ","$1,000 ",Yea
"Newhouse, Dan",House,R,WA04,"$8,000 ",$0 ,"$8,000 ","$3,000 ","$3,000 ","$2,000 ",Yea
"Kaptur, Marcy",House,D,OH09,"$7,751 ","$7,751 ",$0 ,"$1,751 ","$3,000 ","$3,000 ",Nay
"Estes, Ron",House,R,KS04,"$7,307 ",$0 ,"$7,307 ","$2,000 ","$5,000 ",$307 ,Not Voting
"Faso, John",House,R,NY19,"$7,250 ",$0 ,"$7,250 ","$3,000 ","$2,250 ","$2,000 ",Nay
"Gosar, Paul",House,R,AZ04,"$7,250 ",$0 ,"$7,250 ","$1,250 ","$6,000 ",$0 ,Yea
"Davis, Susan A",House,D,CA53,"$7,000 ","$7,000 ",$0 ,$0 ,"$7,000 ",$0 ,Nay
"Garrett, Tom",House,R,VA05,"$7,000 ",$0 ,"$7,000 ","$2,000 ","$3,000 ","$2,000 ",Yea
"Palmer, Gary",House,R,AL06,"$7,000 ",$0 ,"$7,000 ","$1,000 ","$6,000 ",$0 ,Yea
"Russell, Steven",House,R,OK05,"$7,000 ",$0 ,"$7,000 ","$2,500 ","$4,500 ",$0 ,Yea
"Wenstrup, Brad",House,R,OH02,"$7,000 ",$0 ,"$7,000 ","$4,000 ","$3,000 ",$0 ,Yea
"Gaetz, Matt",House,R,FL01,"$6,500 ",$0 ,"$6,500 ","$5,500 ","$1,000 ",$0 ,Yea
"Kustoff, David",House,R,TN08,"$6,500 ",$0 ,"$6,500 ","$2,500 ","$3,000 ","$1,000 ",Yea
"Murphy, Stephanie",House,D,FL07,"$6,485 ","$6,485 ",$0 ,"$5,385 ","$1,075 ",$25 ,Nay
"Norman, Ralph",House,R,SC05,"$6,250 ",$0 ,"$6,250 ",$0 ,"$6,250 ",$0 ,Not Voting
"O'Rourke, Beto",House,D,TX16,"$6,013 ","$6,013 ",$0 ,"$1,385 ","$4,398 ",$230 ,Nay
"Bridenstine, James",House,R,OK01,"$6,000 ",$0 ,"$6,000 ",$0 ,"$5,000 ","$1,000 ",Yea
"Khanna, Ro",House,D,CA17,"$5,461 ","$5,461 ",$0 ,"$1,010 ","$4,451 ",$0 ,Nay
"Espaillat, Adriano",House,D,NY13,"$5,300 ","$5,300 ",$0 ,"$1,000 ","$4,000 ",$300 ,Nay
"Lawson, Al",House,D,FL05,"$4,900 ","$4,900 ",$0 ,"$1,000 ","$2,900 ","$1,000 ",Nay
"Nolan, Rick",House,D,MN08,"$4,286 ","$4,286 ",$0 ,"$2,084 ","$1,128 ","$1,074 ",Nay
"Blum, Rod",House,R,IA01,"$4,000 ",$0 ,"$4,000 ","$2,000 ","$2,000 ",$0 ,Yea
"Johnson, Mike",House,R,LA04,"$4,000 ",$0 ,"$4,000 ","$1,000 ","$3,000 ",$0 ,Yea
"Suozzi, Tom",House,D,NY03,"$4,000 ","$4,000 ",$0 ,"$1,000 ","$1,000 ","$2,000 ",Nay
"Rooney, Francis",House,R,FL19,"$3,500 ",$0 ,"$3,500 ",$0 ,"$3,500 ",$0 ,Yea
"Higgins, Clay",House,R,LA03,"$2,550 ",$0 ,"$2,550 ",$0 ,"$2,550 ",$0 ,Yea
"Rosen, Jacky",House,D,NV03,"$2,537 ","$2,537 ",$0 ,$500 ,"$1,021 ","$1,016 ",Nay
"Curtis, John",House,R,UT03,"$2,000 ",$0 ,"$2,000 ",$0 ,"$2,000 ",$0 ,Not Voting
"Pingree, Chellie",House,D,ME01,"$1,250 ","$1,250 ",$0 ,$250 ,"$1,000 ",$0 ,Nay
"Jayapal, Pramila",House,D,WA07,"$1,000 ","$1,000 ",$0 ,$0 ,$750 ,$250 ,Nay
"Shea-Porter, Carol",House,D,NH01,$99 ,$99 ,$0 ,$82 ,$12 ,$5 ,Nay
"Davidson, Warren",House,R,OH08,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,Nay
"Gianforte, Greg",House,R,MT01,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,Not Voting
"Sarbanes, John",House,D,MD03,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,Nay
