Name,Chamber,Party,District,Total,Dems,Repubs,Comcast Corp,AT&T Inc,Verizon Communications,March 2017 Vote on Internet Privacy
"Heinrich, Martin",Senate,D,NMS1,"$88,062 ","$88,062 ",$0 ,"$55,810 ","$19,750 ","$12,502 ",Nay
"Rogers, Mike D",House,R,AL03,"$88,000 ",$0 ,"$88,000 ","$8,000 ","$64,500 ","$15,500 ",Yea
"Foxx, Virginia",House,R,NC05,"$86,250 ",$0 ,"$86,250 ","$9,250 ","$57,000 ","$20,000 ",Yea
"Jordan, Jim",House,R,OH04,"$86,000 ",$0 ,"$86,000 ","$17,000 ","$54,000 ","$15,000 ",Yea
"Conaway, Mike",House,R,TX11,"$85,750 ",$0 ,"$85,750 ","$2,000 ","$67,750 ","$16,000 ",Yea
"Duffy, Sean P",House,R,WI07,"$85,400 ",$0 ,"$85,400 ","$22,500 ","$35,000 ","$27,900 ",Not Voting
"Cleaver, Emanuel",House,D,MO05,"$85,300 ","$85,300 ",$0 ,"$23,000 ","$47,300 ","$15,000 ",Nay
"Castor, Kathy",House,D,FL14,"$85,216 ","$85,216 ",$0 ,"$29,500 ","$35,000 ","$20,716 ",Nay
"Walberg, Tim",House,R,MI07,"$85,200 ",$0 ,"$85,200 ","$27,200 ","$30,000 ","$28,000 ",Yea
"DeLauro, Rosa L",House,D,CT03,"$84,750 ","$84,750 ",$0 ,"$15,800 ","$57,950 ","$11,000 ",Nay
"Thompson, Glenn",House,R,PA05,"$84,500 ",$0 ,"$84,500 ","$48,500 ","$15,500 ","$20,500 ",Yea
"Cohen, Steve",House,D,TN09,"$84,000 ","$84,000 ",$0 ,"$22,000 ","$38,000 ","$24,000 ",Nay
"Poe, Ted",House,R,TX02,"$84,000 ",$0 ,"$84,000 ","$26,000 ","$37,500 ","$20,500 ",Yea
"Tonko, Paul",House,D,NY20,"$84,000 ","$84,000 ",$0 ,"$16,500 ","$34,500 ","$33,000 ",Not Voting
"Marino, Tom",House,R,PA10,"$83,200 ",$0 ,"$83,200 ","$43,200 ","$31,000 ","$9,000 ",Not Voting
"Buchanan, Vernon",House,R,FL16,"$83,000 ",$0 ,"$83,000 ","$19,500 ","$43,000 ","$20,500 ",Yea
"Graves, Tom",House,R,GA14,"$82,500 ",$0 ,"$82,500 ","$27,500 ","$41,500 ","$13,500 ",Yea
"Lofgren, Zoe",House,D,CA19,"$82,000 ","$82,000 ",$0 ,"$19,250 ","$36,250 ","$26,500 ",Nay
"Walters, Mimi",House,R,CA45,"$81,750 ",$0 ,"$81,750 ","$30,000 ","$29,500 ","$22,250 ",Yea
"King, Steven A",House,R,IA04,"$81,250 ",$0 ,"$81,250 ","$12,000 ","$54,000 ","$15,250 ",Yea
"Paul, Rand",Senate,R,KYS2,"$81,123 ",$0 ,"$81,123 ","$11,097 ","$50,347 ","$19,679 ",Not Voting
"Brooks, Susan",House,R,IN05,"$80,000 ",$0 ,"$80,000 ","$28,250 ","$34,250 ","$17,500 ",Yea
"Johnson, Ron",Senate,R,WIS2,"$79,730 ",$0 ,"$79,730 ","$15,500 ","$38,080 ","$26,150 ",Yea
"Baldwin, Tammy",Senate,D,WIS1,"$79,576 ","$79,576 ",$0 ,"$24,602 ","$42,624 ","$12,350 ",Nay
"Cantwell, Maria",Senate,D,WAS1,"$79,562 ","$79,562 ",$0 ,"$54,700 ","$23,507 ","$1,355 ",Nay
"Lucas, Frank D",House,R,OK03,"$79,300 ",$0 ,"$79,300 ","$11,000 ","$64,300 ","$4,000 ",Yea
"Reed, Tom",House,R,NY23,"$78,666 ",$0 ,"$78,666 ","$18,166 ","$31,500 ","$29,000 ",Yea
"Smith, Adam",House,D,WA09,"$78,000 ","$78,000 ",$0 ,"$23,000 ","$37,000 ","$18,000 ",Nay
"Fischer, Deb",Senate,R,NES1,"$77,350 ",$0 ,"$77,350 ","$27,350 ","$30,000 ","$20,000 ",Yea
"Johnson, Bill",House,R,OH06,"$77,166 ",$0 ,"$77,166 ","$26,666 ","$33,500 ","$17,000 ",Yea
"LoBiondo, Frank",House,R,NJ02,"$76,700 ",$0 ,"$76,700 ","$19,450 ","$27,250 ","$30,000 ",Yea
"Comstock, Barbara",House,R,VA10,"$76,313 ",$0 ,"$76,313 ","$25,000 ","$25,313 ","$26,000 ",Yea
"Shaheen, Jeanne",Senate,D,NHS2,"$75,892 ","$75,892 ",$0 ,"$51,350 ","$15,792 ","$8,750 ",Nay
"Richmond, Cedric",House,D,LA02,"$75,200 ","$75,200 ",$0 ,"$25,500 ","$37,200 ","$12,500 ",Nay
"Walorski, Jackie",House,R,IN02,"$74,750 ",$0 ,"$74,750 ","$21,750 ","$27,500 ","$25,500 ",Yea
"Davis, Rodney",House,R,IL13,"$74,000 ",$0 ,"$74,000 ","$26,500 ","$25,250 ","$22,250 ",Yea
"Bass, Karen",House,D,CA37,"$73,725 ","$73,725 ",$0 ,"$23,225 ","$31,500 ","$19,000 ",Nay
"Cardenas, Tony",House,D,CA29,"$72,751 ","$72,751 ",$0 ,"$12,500 ","$37,251 ","$23,000 ",Nay
"Fudge, Marcia L",House,D,OH11,"$72,750 ","$72,750 ",$0 ,"$11,000 ","$48,250 ","$13,500 ",Nay
"Pascrell, Bill Jr",House,D,NJ09,"$72,725 ","$72,725 ",$0 ,"$10,000 ","$14,625 ","$48,100 ",Nay
"Holding, George",House,R,NC02,"$72,500 ",$0 ,"$72,500 ","$31,000 ","$30,000 ","$11,500 ",Yea
"Johnson, Hank",House,D,GA04,"$72,500 ","$72,500 ",$0 ,"$25,000 ","$32,000 ","$15,500 ",Nay
"Kelly, Mike",House,R,PA03,"$71,500 ",$0 ,"$71,500 ","$26,500 ","$27,500 ","$17,500 ",Yea
"Smith, Adrian",House,R,NE03,"$71,500 ",$0 ,"$71,500 ","$27,000 ","$26,000 ","$18,500 ",Yea
"Yarmuth, John A",House,D,KY03,"$71,000 ","$71,000 ",$0 ,"$17,500 ","$45,500 ","$8,000 ",Nay
"Deutch, Ted",House,D,FL22,"$70,900 ","$70,900 ",$0 ,"$22,500 ","$36,400 ","$12,000 ",Nay
"Langevin, Jim",House,D,RI02,"$70,825 ","$70,825 ",$0 ,$0 ,"$39,250 ","$31,575 ",Nay
"Wilson, Joe",House,R,SC02,"$70,500 ",$0 ,"$70,500 ","$3,000 ","$49,000 ","$18,500 ",Yea
"Rooney, Tom",House,R,FL17,"$69,000 ",$0 ,"$69,000 ","$21,500 ","$32,000 ","$15,500 ",Yea
"Courtney, Joe",House,D,CT02,"$68,750 ","$68,750 ",$0 ,"$27,250 ","$36,500 ","$5,000 ",Nay
"Coffman, Mike",House,R,CO06,"$68,350 ",$0 ,"$68,350 ","$37,600 ","$25,250 ","$5,500 ",Nay
"Hirono, Mazie K",Senate,D,HIS2,"$68,310 ","$68,310 ",$0 ,"$32,400 ","$28,910 ","$7,000 ",Nay
"Black, Diane",House,R,TN06,"$68,250 ",$0 ,"$68,250 ","$26,250 ","$20,000 ","$22,000 ",Yea
"Flores, Bill",House,R,TX17,"$67,500 ",$0 ,"$67,500 ","$14,500 ","$41,000 ","$12,000 ",Yea
"Kilmer, Derek",House,D,WA06,"$67,500 ","$67,500 ",$0 ,"$38,000 ","$14,000 ","$15,500 ",Nay
"Hudson, Richard",House,R,NC08,"$67,250 ",$0 ,"$67,250 ","$24,000 ","$30,750 ","$12,500 ",Yea
"Harris, Kamala D",Senate,D,CAS1,"$66,664 ","$66,664 ",$0 ,"$53,780 ","$9,986 ","$2,898 ",Nay
"Griffith, Morgan",House,R,VA09,"$66,500 ",$0 ,"$66,500 ","$30,500 ","$19,500 ","$16,500 ",Yea
"Sewell, Terri A",House,D,AL07,"$66,500 ","$66,500 ",$0 ,"$19,500 ","$30,250 ","$16,750 ",Nay
"Messer, Luke",House,R,IN06,"$65,800 ",$0 ,"$65,800 ","$28,300 ","$26,500 ","$11,000 ",Yea
"Smith, Chris",House,R,NJ04,"$65,498 ",$0 ,"$65,498 ","$10,600 ","$21,000 ","$33,898 ",Yea
"Heitkamp, Heidi",Senate,D,NDS2,"$65,029 ","$65,029 ",$0 ,"$46,954 ","$12,025 ","$6,050 ",Nay
"Peters, Scott",House,D,CA52,"$63,670 ","$63,670 ",$0 ,"$24,505 ","$22,665 ","$16,500 ",Nay
"Ross, Dennis",House,R,FL15,"$63,250 ",$0 ,"$63,250 ","$13,000 ","$34,000 ","$16,250 ",Yea
"Lowey, Nita M",House,D,NY17,"$63,060 ","$63,060 ",$0 ,$500 ,"$27,560 ","$35,000 ",Nay
"Green, Al",House,D,TX09,"$62,600 ","$62,600 ",$0 ,"$1,000 ","$52,000 ","$9,600 ",Nay
"Valadao, David",House,R,CA21,"$62,250 ",$0 ,"$62,250 ","$25,500 ","$26,250 ","$10,500 ",Yea
"Collins, Chris",House,R,NY27,"$61,000 ",$0 ,"$61,000 ","$13,000 ","$31,000 ","$17,000 ",Yea
"Smith, Jason",House,R,MO08,"$61,000 ",$0 ,"$61,000 ","$19,500 ","$33,500 ","$8,000 ",Yea
"Napolitano, Grace",House,D,CA32,"$60,250 ","$60,250 ",$0 ,"$19,000 ","$31,750 ","$9,500 ",Nay
"Rounds, Mike",Senate,R,SDS2,"$59,848 ",$0 ,"$59,848 ","$12,500 ","$14,500 ","$32,848 ",Yea
"Nadler, Jerrold",House,D,NY10,"$59,310 ","$59,310 ",$0 ,"$21,560 ","$20,750 ","$17,000 ",Nay
"Mullin, Markwayne",House,R,OK02,"$59,250 ",$0 ,"$59,250 ","$14,000 ","$35,250 ","$10,000 ",Yea
"Visclosky, Pete",House,D,IN01,"$59,100 ","$59,100 ",$0 ,$0 ,"$56,600 ","$2,500 ",Nay
"Quigley, Mike",House,D,IL05,"$59,000 ","$59,000 ",$0 ,"$16,500 ","$31,000 ","$11,500 ",Nay
"Sinema, Kyrsten",House,D,AZ09,"$58,500 ","$58,500 ",$0 ,"$32,500 ","$22,000 ","$4,000 ",Nay
"Gohmert, Louis B Jr",House,R,TX01,"$57,500 ",$0 ,"$57,500 ","$11,000 ","$37,500 ","$9,000 ",Yea
